Date,pm25_daily_mean,pm25_daily_mean_interpolated,was_interpolated,high_pm25_day,year,month,season,temperature_2m_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,cloud_cover_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,wind_direction_sin,wind_direction_cos
2021-03-03,40.92691666666666,40.92691666666666,False,1,2021,3,Spring,2.8,84.0,0.3,0.4,6.2,63.0,1028.3,7.08,65.0,22.3,0.83,0.8910065241883678,0.4539904997395468
2021-03-04,10.095291666666666,10.095291666666666,False,0,2021,3,Spring,4.3,79.0,0.9,0.0,10.7,48.0,1027.3,4.06,86.0,36.4,0.81,0.7431448254773942,0.6691306063588582
2021-03-05,5.822583333333333,5.822583333333333,False,0,2021,3,Spring,2.7,75.0,-1.4,0.0,7.4,44.0,1033.7,6.56,61.0,24.8,0.89,0.6946583704589973,0.7193398003386512
2021-03-06,18.331458333333334,18.331458333333334,False,1,2021,3,Spring,3.0,71.0,-2.0,0.0,3.2,90.0,1035.0,7.11,78.0,12.6,0.86,1.0,6.123233995736766e-17
2021-03-07,26.307125,26.307125,False,1,2021,3,Spring,2.1,80.0,-1.1,0.0,5.7,264.0,1028.3,7.82,59.0,22.0,0.91,-0.9945218953682734,-0.10452846326765336
2021-03-08,18.17620833333333,18.17620833333333,False,1,2021,3,Spring,3.7,90.0,2.1,1.3,8.4,248.0,1023.5,3.94,84.0,41.4,0.61,-0.9271838545667873,-0.3746065934159123
2021-03-09,11.641208333333333,11.641208333333333,False,0,2021,3,Spring,5.7,83.0,2.9,0.2,10.3,185.0,1017.9,3.46,96.0,37.1,0.78,-0.08715574274765794,-0.9961946980917455
2021-03-10,6.060333333333333,6.060333333333333,False,0,2021,3,Spring,8.3,87.0,6.3,15.3,28.7,194.0,998.8,1.86,96.0,72.7,0.76,-0.2419218955996675,-0.9702957262759965
2021-03-11,5.773458333333333,5.773458333333333,False,0,2021,3,Spring,7.5,74.0,3.1,6.2,33.6,250.0,988.1,8.23,65.0,84.6,1.75,-0.9396926207859084,-0.34202014332566855
2021-03-12,4.002666666666667,4.002666666666667,False,0,2021,3,Spring,5.5,79.0,2.0,5.1,20.3,226.0,995.9,6.42,84.0,63.4,1.15,-0.7193398003386512,-0.6946583704589973
2021-03-13,4.131333333333333,4.131333333333333,False,0,2021,3,Spring,4.9,82.0,2.1,11.9,27.5,262.0,990.2,6.06,86.0,63.7,1.04,-0.9902680687415703,-0.13917310096006583
2021-03-14,6.66375,6.66375,False,0,2021,3,Spring,6.5,86.0,4.3,9.0,22.8,281.0,1010.2,4.5,82.0,62.3,0.8,-0.9816271834476639,0.1908089953765451
2021-03-15,11.908541666666666,11.908541666666666,False,0,2021,3,Spring,7.9,81.0,4.6,0.1,17.3,305.0,1020.4,8.76,76.0,43.2,1.39,-0.8191520442889918,0.573576436351046
2021-03-16,9.99225,9.99225,False,0,2021,3,Spring,8.9,89.0,7.2,3.5,13.4,294.0,1028.0,5.85,90.0,45.7,0.83,-0.9135454576426011,0.40673664307579976
2021-03-17,16.308041666666668,16.308041666666668,False,1,2021,3,Spring,5.9,82.0,2.9,0.0,6.7,343.0,1034.3,8.09,75.0,21.2,1.08,-0.29237170472273716,0.9563047559630353
2021-03-18,15.681125,15.681125,False,1,2021,3,Spring,6.1,90.0,4.6,0.0,6.3,281.0,1031.4,7.26,88.0,28.1,0.91,-0.9816271834476639,0.1908089953765451
2021-03-19,4.42125,4.42125,False,0,2021,3,Spring,9.0,80.0,5.8,0.2,10.8,29.0,1030.5,5.32,98.0,30.6,1.01,0.48480962024633706,0.8746197071393957
2021-03-20,9.05275,9.05275,False,0,2021,3,Spring,8.4,86.0,6.2,0.2,10.1,286.0,1031.8,6.45,96.0,36.4,1.01,-0.9612616959383188,0.2756373558169994
2021-03-21,8.172208333333334,8.172208333333334,False,0,2021,3,Spring,7.1,84.0,4.5,0.0,6.1,270.0,1029.8,7.0,92.0,24.1,1.03,-1.0,-1.8369701987210297e-16
2021-03-22,7.343791666666667,7.343791666666667,False,0,2021,3,Spring,7.1,81.0,4.0,0.0,8.3,273.0,1026.3,8.83,96.0,28.4,1.22,-0.9986295347545738,0.052335956242943946
2021-03-23,8.023833333333334,8.023833333333334,False,0,2021,3,Spring,7.6,77.0,3.6,0.1,14.6,206.0,1021.1,7.14,81.0,42.5,1.42,-0.43837114678907746,-0.8987940462991669
2021-03-24,5.635833333333333,5.635833333333333,False,0,2021,3,Spring,9.3,71.0,4.1,0.3,14.8,230.0,1017.6,13.4,69.0,40.3,2.1,-0.7660444431189779,-0.6427876096865395
2021-03-25,4.467333333333333,4.467333333333333,False,0,2021,3,Spring,8.9,71.0,3.7,0.2,16.6,200.0,1014.1,11.89,65.0,41.8,2.09,-0.34202014332566866,-0.9396926207859084
2021-03-26,4.788791666666667,4.788791666666667,False,0,2021,3,Spring,7.6,72.0,2.7,5.6,23.7,213.0,1004.6,8.4,74.0,64.1,1.7,-0.5446390350150271,-0.838670567945424
2021-03-27,6.682375,6.682375,False,0,2021,3,Spring,6.6,67.0,0.7,1.9,25.3,249.0,1015.2,8.79,81.0,60.8,1.99,-0.9335804264972016,-0.3583679495453007
2021-03-28,1.7079583333333332,1.7079583333333332,False,0,2021,3,Spring,10.9,84.0,8.3,12.5,29.2,211.0,1014.4,9.02,95.0,74.9,1.59,-0.5150380749100542,-0.8571673007021123
2021-03-29,2.221833333333333,2.221833333333333,False,0,2021,3,Spring,13.0,77.0,9.0,0.6,21.8,216.0,1021.1,12.88,47.0,54.7,2.32,-0.587785252292473,-0.8090169943749476
2021-03-30,11.992958333333334,11.992958333333334,False,0,2021,3,Spring,11.8,74.0,7.2,0.0,8.7,179.0,1026.1,17.38,23.0,25.2,2.71,0.01745240643728344,-0.9998476951563913
2021-03-31,19.117541666666664,19.117541666666664,False,1,2021,3,Spring,13.1,69.0,7.4,0.1,7.9,123.0,1019.8,17.23,34.0,45.0,2.83,0.8386705679454239,-0.5446390350150271
2021-04-01,6.187166666666666,6.187166666666666,False,0,2021,4,Spring,7.9,74.0,3.5,0.0,21.5,65.0,1027.0,15.12,46.0,58.7,2.08,0.9063077870366499,0.42261826174069944
2021-04-02,6.879041666666667,6.879041666666667,False,0,2021,4,Spring,5.7,72.0,0.8,0.0,9.8,37.0,1032.8,17.96,18.0,33.5,2.19,0.6018150231520483,0.7986355100472928
